alpha,fit_intercept,normalize,copy_X,max_iter,solver,accuracy
"[1e-05, 0.0001, 0.1, 1, 10, 20, 25, 30, 35, 50]","[True, False]","[False, True]","[True, False]","[1, 10]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
1,True,False,True,10,cholesky,0.803370786516853
1,True,False,True,10,svd,0.803370786516853
1,True,False,False,1,cholesky,0.803370786516853
1,True,False,False,1,svd,0.803370786516853
1,True,False,False,10,cholesky,0.803370786516853
1,True,False,False,10,svd,0.803370786516853
35,True,False,True,1,cholesky,0.803370786516853
35,True,False,True,1,svd,0.803370786516853
35,True,False,True,10,cholesky,0.803370786516853
35,True,False,True,10,svd,0.803370786516853
35,True,False,True,10,sparse_cg,0.803370786516853
35,True,False,False,1,cholesky,0.803370786516853
35,True,False,False,1,svd,0.803370786516853
35,True,False,False,10,cholesky,0.803370786516853
35,True,False,False,10,svd,0.803370786516853
35,True,False,False,10,sparse_cg,0.803370786516853
50,False,False,True,10,sparse_cg,0.803370786516853
50,False,True,True,10,sparse_cg,0.803370786516853
50,False,False,False,10,sparse_cg,0.803370786516853
50,False,True,False,10,sparse_cg,0.803370786516853
1,False,False,True,1,cholesky,0.8019662921348311
1,False,False,True,1,svd,0.8019662921348311
1,False,True,True,1,cholesky,0.8019662921348311
1,False,True,True,1,svd,0.8019662921348311
1,False,False,True,10,cholesky,0.8019662921348311
1,False,False,True,10,svd,0.8019662921348311
1,False,True,True,10,cholesky,0.8019662921348311
1,False,True,True,10,svd,0.8019662921348311
1,False,False,False,1,cholesky,0.8019662921348311
1,False,False,False,1,svd,0.8019662921348311
1,False,True,False,1,cholesky,0.8019662921348311
1,False,True,False,1,svd,0.8019662921348311
1,False,False,False,10,cholesky,0.8019662921348311
1,False,False,False,10,svd,0.8019662921348311
1,False,True,False,10,cholesky,0.8019662921348311
1,False,True,False,10,svd,0.8019662921348311
10,False,False,True,1,cholesky,0.8019662921348311
10,False,False,True,1,svd,0.8019662921348311
10,False,True,True,1,cholesky,0.8019662921348311
10,False,True,True,1,svd,0.8019662921348311
10,False,False,True,10,cholesky,0.8019662921348311
10,False,False,True,10,svd,0.8019662921348311
10,False,True,True,10,cholesky,0.8019662921348311
10,False,True,True,10,svd,0.8019662921348311
10,False,False,False,1,cholesky,0.8019662921348311
10,False,False,False,1,svd,0.8019662921348311
10,False,True,False,1,cholesky,0.8019662921348311
10,False,True,False,1,svd,0.8019662921348311
10,False,False,False,10,cholesky,0.8019662921348311
10,False,False,False,10,svd,0.8019662921348311
10,False,True,False,10,cholesky,0.8019662921348311
10,False,True,False,10,svd,0.8019662921348311
1e-05,True,True,True,10,lsqr,0.8005617977528091
1e-05,False,False,True,1,cholesky,0.8005617977528091
1e-05,False,False,True,1,svd,0.8005617977528091
1e-05,False,True,True,1,cholesky,0.8005617977528091
1e-05,False,True,True,1,svd,0.8005617977528091
1e-05,False,False,True,10,cholesky,0.8005617977528091
1e-05,False,False,True,10,svd,0.8005617977528091
1e-05,False,True,True,10,cholesky,0.8005617977528091
1e-05,False,True,True,10,svd,0.8005617977528091
1e-05,True,True,False,10,lsqr,0.8005617977528091
1e-05,False,False,False,1,cholesky,0.8005617977528091
1e-05,False,False,False,1,svd,0.8005617977528091
1e-05,False,True,False,1,cholesky,0.8005617977528091
1e-05,False,True,False,1,svd,0.8005617977528091
1e-05,False,False,False,10,cholesky,0.8005617977528091
1e-05,False,False,False,10,svd,0.8005617977528091
1e-05,False,True,False,10,cholesky,0.8005617977528091
1e-05,False,True,False,10,svd,0.8005617977528091
0.0001,True,True,True,10,lsqr,0.8005617977528091
0.0001,False,False,True,1,cholesky,0.8005617977528091
0.0001,False,False,True,1,svd,0.8005617977528091
0.0001,False,True,True,1,cholesky,0.8005617977528091
0.0001,False,True,True,1,svd,0.8005617977528091
0.0001,False,False,True,10,cholesky,0.8005617977528091
0.0001,False,False,True,10,svd,0.8005617977528091
0.0001,False,True,True,10,cholesky,0.8005617977528091
0.0001,False,True,True,10,svd,0.8005617977528091
0.0001,True,True,False,10,lsqr,0.8005617977528091
0.0001,False,False,False,1,cholesky,0.8005617977528091
0.0001,False,False,False,1,svd,0.8005617977528091
0.0001,False,True,False,1,cholesky,0.8005617977528091
0.0001,False,True,False,1,svd,0.8005617977528091
0.0001,False,False,False,10,cholesky,0.8005617977528091
0.0001,False,False,False,10,svd,0.8005617977528091
0.0001,False,True,False,10,cholesky,0.8005617977528091
0.0001,False,True,False,10,svd,0.8005617977528091
50,True,False,True,10,sparse_cg,0.8005617977528091
50,True,False,False,10,sparse_cg,0.8005617977528091
0.1,True,True,True,10,sparse_cg,0.799157303370786
0.1,False,False,True,1,cholesky,0.799157303370786
0.1,False,False,True,1,svd,0.799157303370786
0.1,False,True,True,1,cholesky,0.799157303370786
0.1,False,True,True,1,svd,0.799157303370786
0.1,False,False,True,10,cholesky,0.799157303370786
0.1,False,False,True,10,svd,0.799157303370786
0.1,False,True,True,10,cholesky,0.799157303370786
0.1,False,True,True,10,svd,0.799157303370786
0.1,True,True,False,10,sparse_cg,0.799157303370786
0.1,False,False,False,1,cholesky,0.799157303370786
0.1,False,False,False,1,svd,0.799157303370786
0.1,False,True,False,1,cholesky,0.799157303370786
0.1,False,True,False,1,svd,0.799157303370786
0.1,False,False,False,10,cholesky,0.799157303370786
0.1,False,False,False,10,svd,0.799157303370786
0.1,False,True,False,10,cholesky,0.799157303370786
0.1,False,True,False,10,svd,0.799157303370786
1,True,True,True,10,lsqr,0.799157303370786
1,True,True,False,10,lsqr,0.799157303370786
0.1,True,True,True,1,cholesky,0.7977528089887641
0.1,True,True,True,1,svd,0.7977528089887641
0.1,True,True,True,10,cholesky,0.7977528089887641
0.1,True,True,True,10,svd,0.7977528089887641
0.1,True,True,True,10,lsqr,0.7977528089887641
0.1,True,True,False,1,cholesky,0.7977528089887641
0.1,True,True,False,1,svd,0.7977528089887641
0.1,True,True,False,10,cholesky,0.7977528089887641
0.1,True,True,False,10,svd,0.7977528089887641
0.1,True,True,False,10,lsqr,0.7977528089887641
1,True,True,True,1,cholesky,0.7977528089887641
1,True,True,True,1,svd,0.7977528089887641
1,True,True,True,10,cholesky,0.7977528089887641
1,True,True,True,10,svd,0.7977528089887641
1,True,True,True,10,sparse_cg,0.7977528089887641
1,True,True,False,1,cholesky,0.7977528089887641
1,True,True,False,1,svd,0.7977528089887641
1,True,True,False,10,cholesky,0.7977528089887641
1,True,True,False,10,svd,0.7977528089887641
1,True,True,False,10,sparse_cg,0.7977528089887641
50,True,False,True,1,cholesky,0.796348314606741
50,True,False,True,1,svd,0.796348314606741
50,True,False,True,10,cholesky,0.796348314606741
50,True,False,True,10,svd,0.796348314606741
50,False,False,True,1,cholesky,0.796348314606741
50,False,False,True,1,svd,0.796348314606741
50,False,True,True,1,cholesky,0.796348314606741
50,False,True,True,1,svd,0.796348314606741
50,False,False,True,10,cholesky,0.796348314606741
50,False,False,True,10,svd,0.796348314606741
50,False,True,True,10,cholesky,0.796348314606741
50,False,True,True,10,svd,0.796348314606741
50,True,False,False,1,cholesky,0.796348314606741
50,True,False,False,1,svd,0.796348314606741
50,True,False,False,10,cholesky,0.796348314606741
50,True,False,False,10,svd,0.796348314606741
50,False,False,False,1,cholesky,0.796348314606741
50,False,False,False,1,svd,0.796348314606741
50,False,True,False,1,cholesky,0.796348314606741
50,False,True,False,1,svd,0.796348314606741
50,False,False,False,10,cholesky,0.796348314606741
50,False,False,False,10,svd,0.796348314606741
50,False,True,False,10,cholesky,0.796348314606741
50,False,True,False,10,svd,0.796348314606741
